Country,UN Region,UN Sub-Region,Total Threatened Species,Current Population,Population Density
Afghanistan,Asia,Southern Asia,36.0,38900000.0,59.57120980091884
Albania,Europe,Southern Europe,59.0,2880000.0,100.0
Algeria,Africa,Northern Africa,92.0,43900000.0,18.445378151260503
Andorra,Europe,Southern Europe,5.0,77300.0,164.46808510638297
Angola,Africa,Sub-Saharan Africa,137.0,32900000.0,26.32
Argentina,Americas,Latin America,202.0,45200000.0,16.258992805755394
Armenia,Asia,Western Asia,100.0,2960000.0,99.66329966329967
Australia,Oceania,Australia - New Zealand,348.0,25500000.0,3.294573643410853
Austria,Europe,Western Europe,44.0,9010000.0,107.38974970202622
Azerbaijan,Asia,Western Asia,83.0,10100000.0,116.62817551963049
Bahamas,Americas,Latin America,65.0,393000.0,28.27338129496403
Bahrain,Asia,Western Asia,24.0,1700000.0,2185.089974293059
Bangladesh,Asia,Southern Asia,125.0,165000000.0,1114.8648648648648
Barbados,Americas,Latin America,39.0,287000.0,667.4418604651163
Belarus,Europe,Eastern Europe,16.0,9450000.0,45.43269230769231
Belgium,Europe,Western Europe,23.0,11600000.0,380.327868852459
Belize,Americas,Latin America,107.0,398000.0,17.304347826086957
Benin,Africa,Sub-Saharan Africa,85.0,12100000.0,105.21739130434783
Bhutan,Asia,Southern Asia,92.0,772000.0,20.104166666666668
Bolivia,Americas,Latin America,190.0,11700000.0,10.636363636363637
Botswana,Africa,Sub-Saharan Africa,32.0,2350000.0,4.037800687285223
Brazil,Americas,Latin America,906.0,213000000.0,25.0
Brunei,Asia,South-eastern Asia,205.0,437000.0,75.736568457539
Bulgaria,Europe,Eastern Europe,56.0,6950000.0,62.612612612612615
Burkina Faso,Africa,Sub-Saharan Africa,29.0,20900000.0,76.27737226277372
Burundi,Africa,Sub-Saharan Africa,135.0,11900000.0,428.0575539568345
Cambodia,Asia,South-eastern Asia,155.0,16700000.0,92.26519337016575
Cameroon,Africa,Sub-Saharan Africa,752.0,26500000.0,55.78947368421053
Canada,Americas,Northern America,104.0,37700000.0,3.7775551102204408
Cape Verde,Africa,Western Africa,97.0,556000.0,137.96526054590572
Central African Republic,Africa,Sub-Saharan Africa,61.0,4830000.0,7.752808988764045
Chad,Africa,Sub-Saharan Africa,39.0,16400000.0,12.8125
Chile,Americas,Latin America,154.0,19100000.0,25.23117569352708
China,Asia,Eastern Asia,898.0,1440000000.0,150.6276150627615
Colombia,Americas,Latin America,551.0,50900000.0,44.64912280701754
Comoros,Africa,Sub-Saharan Africa,39.0,870000.0,467.741935483871
Costa Rica,Americas,Latin America,245.0,5090000.0,99.60861056751467
Cote d'Ivoire,Africa,Sub-Saharan Africa,233.0,26400000.0,81.98757763975155
Croatia,Europe,Southern Europe,95.0,4110000.0,72.6148409893993
Cuba,Americas,Latin America,252.0,11300000.0,102.72727272727273
Cyprus,Asia,Western Asia,59.0,1210000.0,130.8108108108108
Czech Republic,Europe,Eastern Europe,40.0,10700000.0,135.61470215462612
Dem. Rep. of Congo,Africa,Sub-Saharan Africa,316.0,89600000.0,38.29059829059829
Denmark,Europe,Northern Europe,30.0,5790000.0,134.96503496503496
Djibouti,Africa,Sub-Saharan Africa,49.0,988000.0,42.58620689655172
Dominica,Americas,Latin America,53.0,72000.0,96.0
Dominican Republic,Americas,Latin America,100.0,10800000.0,221.76591375770022
Ecuador,Americas,Latin America,2074.0,17600000.0,68.75
Egypt,Africa,Northern Africa,98.0,102000000.0,102.0
El Salvador,Americas,Latin America,63.0,6490000.0,309.04761904761904
Equatorial Guinea,Africa,Sub-Saharan Africa,171.0,1400000.0,49.8220640569395
Eritrea,Africa,Sub-Saharan Africa,71.0,3550000.0,30.084745762711865
Estonia,Europe,Northern Europe,15.0,1330000.0,29.3598233995585
Eswatini,Africa,Sub-Saharan Africa,40.0,1160000.0,66.66666666666667
Ethiopia,Africa,Sub-Saharan Africa,147.0,115000000.0,104.54545454545455
Fed. Sts. Micronesia,Oceania,Micronesia,47.0,115000.0,164.28571428571428
Fiji,Oceania,Melanesia,119.0,896000.0,48.96174863387978
Finland,Europe,Northern Europe,21.0,5540000.0,16.390532544378697
France,Europe,Western Europe,125.0,65300000.0,118.94353369763206
Gabon,Africa,Sub-Saharan Africa,270.0,2230000.0,8.32089552238806
Gambia,Africa,Sub-Saharan Africa,65.0,2420000.0,214.15929203539824
Georgia,Asia,Western Asia,97.0,3990000.0,57.24533715925394
Germany,Europe,Western Europe,76.0,83800000.0,234.0782122905028
Ghana,Africa,Sub-Saharan Africa,221.0,31100000.0,130.1255230125523
Greece,Europe,Southern Europe,179.0,10400000.0,78.78787878787878
Grenada,Americas,Northern America,37.0,113000.0,332.3529411764706
Guatemala,Americas,Latin America,193.0,17900000.0,164.22018348623854
Guinea,Africa,Sub-Saharan Africa,196.0,13100000.0,53.2520325203252
Guinea-Bissau,Africa,Sub-Saharan Africa,73.0,1970000.0,54.57063711911357
Guyana,Americas,Latin America,90.0,787000.0,3.66046511627907
Haiti,Americas,Latin America,144.0,11400000.0,410.0719424460432
Honduras,Americas,Latin America,201.0,9900000.0,88.39285714285714
Hungary,Europe,Eastern Europe,68.0,9660000.0,103.87096774193549
Iceland,Europe,Northern Europe,29.0,341000.0,3.3106796116504853
India,Asia,Southern Asia,809.0,1380000000.0,419.45288753799394
Indonesia,Asia,South-eastern Asia,975.0,274000000.0,143.45549738219896
Iran,Asia,Southern Asia,100.0,84000000.0,48.0
Iraq,Asia,Western Asia,51.0,40200000.0,92.41379310344827
Ireland,Europe,Northern Europe,45.0,4940000.0,70.27027027027027
Israel,Asia,Western Asia,106.0,8660000.0,391.8552036199095
Italy,Europe,Southern Europe,179.0,60500000.0,200.9966777408638
Jamaica,Americas,Latin America,263.0,2960000.0,269.09090909090907
Japan,Asia,Eastern Asia,205.0,126000000.0,333.3333333333333
Jordan,Asia,Western Asia,55.0,10200000.0,114.22172452407615
Kazakhstan,Asia,Central Asia,71.0,18800000.0,6.911764705882353
Kenya,Africa,Sub-Saharan Africa,391.0,53800000.0,92.75862068965517
Kiribati,Oceania,Micronesia,22.0,119000.0,146.91358024691357
Kuwait,Asia,Western Asia,36.0,4270000.0,239.8876404494382
Kyrgyz Republic,Asia,Central Asia,36.0,6520000.0,32.6
Lao,Asia,South-eastern Asia,185.0,7280000.0,30.717299578059073
Latvia,Europe,Northern Europe,18.0,1890000.0,29.302325581395348
Lebanon,Asia,Western Asia,73.0,6830000.0,650.4761904761905
Lesotho,Africa,Sub-Saharan Africa,17.0,2140000.0,70.39473684210526
Liberia,Africa,Sub-Saharan Africa,155.0,5060000.0,45.585585585585584
Libya,Africa,Northern Africa,57.0,6870000.0,3.903409090909091
Liechtenstein,Europe,Western Europe,2.0,38100.0,238.125
Lithuania,Europe,Northern Europe,19.0,2720000.0,41.65390505359878
Luxembourg,Europe,Western Europe,4.0,626000.0,241.6988416988417
Madagascar,Africa,Sub-Saharan Africa,1379.0,27700000.0,47.18909710391823
Malawi,Africa,Sub-Saharan Africa,99.0,19100000.0,161.864406779661
Malaysia,Asia,South-eastern Asia,948.0,32400000.0,98.18181818181819
Maldives,Asia,Southern Asia,26.0,541000.0,1803.3333333333333
Mali,Africa,Sub-Saharan Africa,45.0,20300000.0,16.370967741935484
Malta,Europe,Southern Europe,33.0,442000.0,1381.25
Marshall Islands,Oceania,Micronesia,23.0,59200.0,328.8888888888889
Mauritania,Africa,Sub-Saharan Africa,82.0,4650000.0,4.514563106796117
Mauritius,Africa,Sub-Saharan Africa,131.0,1270000.0,622.5490196078431
Mexico,Americas,Latin America,832.0,129000000.0,65.81632653061224
Moldova,Europe,Eastern Europe,25.0,4030000.0,118.87905604719764
Mongolia,Asia,Eastern Asia,37.0,3280000.0,2.1025641025641026
Montenegro,Europe,Southern Europe,54.0,628000.0,45.507246376811594
Morocco,Africa,Northern Africa,142.0,36900000.0,82.5503355704698
Mozambique,Africa,Sub-Saharan Africa,264.0,31300000.0,39.82188295165395
Myanmar,Asia,South-eastern Asia,219.0,54400000.0,80.35450516986707
Namibia,Africa,Sub-Saharan Africa,107.0,2540000.0,3.0825242718446604
Nauru,Oceania,Micronesia,15.0,10800.0,540.0
Nepal,Asia,Southern Asia,92.0,29100000.0,197.9591836734694
Netherlands,Europe,Western Europe,29.0,17100000.0,412.04819277108436
New Zealand,Oceania,Australia - New Zealand,137.0,4820000.0,17.98507462686567
Nicaragua,Americas,Latin America,114.0,6620000.0,50.92307692307692
Niger,Africa,Sub-Saharan Africa,34.0,24200000.0,19.055118110236222
Nigeria,Africa,Sub-Saharan Africa,331.0,206000000.0,222.94372294372295
North Korea,Asia,Eastern Asia,76.0,25800000.0,213.22314049586777
North Macedonia,Europe,Southern Europe,36.0,2080000.0,80.93385214007782
Norway,Europe,Northern Europe,52.0,5420000.0,8.672
Oman,Asia,Western Asia,65.0,5110000.0,16.483870967741936
Pakistan,Asia,Southern Asia,116.0,221000000.0,277.63819095477385
Palau,Oceania,Micronesia,36.0,18100.0,39.34782608695652
Palestine,Asia,Western Asia,27.0,5100000.0,847.1760797342192
Panama,Americas,Latin America,311.0,4310000.0,57.16180371352785
Papua New Guinea,Oceania,Melanesia,320.0,8950000.0,19.330453563714904
Paraguay,Americas,Latin America,57.0,7130000.0,17.51842751842752
Peru,Americas,Latin America,552.0,33000000.0,25.58139534883721
Philippines,Asia,South-eastern Asia,476.0,110000000.0,366.6666666666667
Poland,Europe,Eastern Europe,34.0,37800000.0,120.7667731629393
Portugal,Europe,Southern Europe,196.0,10200000.0,110.6290672451193
Qatar,Asia,Western Asia,30.0,2880000.0,248.27586206896552
Rep. of Congo,Africa,Sub-Saharan Africa,125.0,5520000.0,16.140350877192983
Romania,Europe,Eastern Europe,55.0,19200000.0,80.67226890756302
Russia,Europe,Eastern Europe,186.0,146000000.0,8.538011695906432
Rwanda,Africa,Sub-Saharan Africa,92.0,13000000.0,494.2965779467681
Samoa,Oceania,Polynesia,26.0,198000.0,69.71830985915493
San Marino,Europe,Southern Europe,0.0,33900.0,565.0
Saudi Arabia,Asia,Western Asia,74.0,34800000.0,16.186046511627907
Senegal,Africa,Sub-Saharan Africa,110.0,16700000.0,84.77157360406092
Serbia,Europe,Southern Europe,40.0,8740000.0,98.86877828054298
Seychelles,Africa,Sub-Saharan Africa,104.0,98300.0,213.69565217391303
Sierra Leone,Africa,Sub-Saharan Africa,167.0,7980000.0,110.3734439834025
Singapore,Asia,South-eastern Asia,127.0,5850000.0,8136.300417246175
Slovak Republic,Europe,Eastern Europe,46.0,5460000.0,111.42857142857143
Slovenia,Europe,Southern Europe,56.0,2080000.0,100.48309178743962
Solomon Islands,Oceania,Melanesia,83.0,687000.0,23.771626297577853
Somalia,Africa,Sub-Saharan Africa,117.0,15900000.0,24.921630094043888
South Africa,Africa,Sub-Saharan Africa,358.0,59300000.0,48.60655737704918
South Korea,Asia,Eastern Asia,104.0,51300000.0,513.0
Spain,Europe,Southern Europe,366.0,46800000.0,92.4901185770751
Sri Lanka,Asia,Southern Asia,400.0,21400000.0,326.219512195122
St. Lucia,Americas,Latin America,46.0,184000.0,296.7741935483871
Suriname,Americas,Latin America,77.0,587000.0,3.5792682926829267
Sweden,Europe,Northern Europe,32.0,10100000.0,22.595078299776286
Switzerland,Europe,Western Europe,25.0,8650000.0,209.44309927360774
Syria,Asia,Western Asia,108.0,17500000.0,94.5945945945946
Tajikistan,Asia,Central Asia,39.0,9540000.0,67.65957446808511
Tanzania,Africa,Sub-Saharan Africa,913.0,59700000.0,63.04118268215417
Thailand,Asia,South-eastern Asia,386.0,69800000.0,136.06237816764133
Timor-Leste,Asia,South-eastern Asia,26.0,1320000.0,88.59060402684564
Togo,Africa,Sub-Saharan Africa,77.0,8280000.0,145.77464788732394
Tonga,Oceania,Polynesia,28.0,106000.0,141.33333333333334
Tunisia,Africa,Northern Africa,73.0,11800000.0,71.95121951219512
Turkey,Asia,Western Asia,283.0,84300000.0,107.38853503184713
Turkmenistan,Asia,Central Asia,46.0,6030000.0,12.35655737704918
Tuvalu,Oceania,Polynesia,16.0,11800.0,393.3333333333333
Uganda,Africa,Sub-Saharan Africa,185.0,45700000.0,188.84297520661158
Ukraine,Europe,Eastern Europe,74.0,43700000.0,72.35099337748345
United Arab Emirates,Asia,Western Asia,41.0,9890000.0,118.30143540669856
United Kingdom,Europe,Northern Europe,106.0,67900000.0,278.27868852459017
United States,Americas,Northern America,892.0,331000000.0,33.67243133265514
Uruguay,Americas,Latin America,99.0,3470000.0,19.71590909090909
Uzbekistan,Asia,Central Asia,52.0,33500000.0,74.9440715883669
Vanuatu,Oceania,Melanesia,44.0,307000.0,25.16393442622951
Venezuela,Americas,Latin America,218.0,28400000.0,31.140350877192983
Vietnam,Asia,South-eastern Asia,422.0,97300000.0,293.95770392749245
Yemen,Asia,Western Asia,230.0,29800000.0,56.43939393939394
Zambia,Africa,Sub-Saharan Africa,76.0,18400000.0,24.43559096945551
Zimbabwe,Africa,Sub-Saharan Africa,84.0,14900000.0,38.107416879795394
